number;name;type1;type2;total;hp;attack;defense;sp_attack;sp_defense;speed;generation;legendary; antecesor; predecesor;Column1
223;Remoraid;Water;NONE;300;35;65;35;65;35;65;2;FALSO; NONE; Octillery;
224;Octillery;Water;NONE;480;75;105;75;105;75;45;2;FALSO; Remoraid; NONE;
225;Delibird;Ice;Flying;330;45;55;45;65;45;75;2;FALSO; NONE; NONE;
226;Mantine;Water;Flying;465;65;40;70;80;140;70;2;FALSO; Mantyke; NONE;
227;Skarmory;Steel;Flying;465;65;80;140;40;70;70;2;FALSO; NONE; NONE;
228;Houndour;Dark;Fire;330;45;60;30;80;50;65;2;FALSO; NONE; Houndoom;
229;Houndoom;Dark;Fire;500;75;90;50;110;80;95;2;FALSO; Houndour; NONE;
229;Mega Houndoom;Dark;Fire;600;75;90;90;140;90;115;2;FALSO; NONE; NONE;
230;Kingdra;Water;Dragon;540;75;95;95;95;95;85;2;FALSO; Seadra; NONE;
231;Phanpy;Ground;NONE;330;90;60;60;40;40;40;2;FALSO; NONE; Donphan;
232;Donphan;Ground;NONE;500;90;120;120;60;60;50;2;FALSO; Phanpy; NONE;
233;Porygon2;Normal;NONE;515;85;80;90;105;95;60;2;FALSO; Porygon; Porygon-Z;
234;Stantler;Normal;NONE;465;73;95;62;85;65;85;2;FALSO; NONE; NONE;
235;Smeargle;Normal;NONE;250;55;20;35;20;45;75;2;FALSO; NONE; NONE;
236;Tyrogue;Fighting;NONE;210;35;35;35;35;35;35;2;FALSO; NONE; Hitmonlee Hitmonchan or Hitmontop;
237;Hitmontop;Fighting;NONE;455;50;95;95;35;110;70;2;FALSO; Tyrogue; NONE;
238;Smoochum;Ice;Psychic;305;45;30;15;85;65;65;2;FALSO; NONE; Jynx;
239;Elekid;Electric;NONE;360;45;63;37;65;55;95;2;FALSO; NONE; Electabuzz;
240;Magby;Fire;NONE;365;45;75;37;70;55;83;2;FALSO; NONE; Magmar;
241;Miltank;Normal;NONE;490;95;80;105;40;70;100;2;FALSO;NONE;NONE;
242;Blissey;Normal;NONE;540;255;10;10;75;135;55;2;FALSO; Chansey; NONE;
243;Raikou;Electric;NONE;580;90;85;75;115;100;115;2;VERDADERO; NONE; NONE;
244;Entei;Fire;NONE;580;115;115;85;90;75;100;2;VERDADERO; NONE; NONE;
245;Suicune;Water;NONE;580;100;75;115;90;115;85;2;VERDADERO; NONE; NONE;
246;Larvitar;Rock;Ground;300;50;64;50;45;50;41;2;FALSO; NONE; Pupitar;
247;Pupitar;Rock;Ground;410;70;84;70;65;70;51;2;FALSO; Larvitar; Tyranitar;
248;Tyranitar;Rock;Dark;600;100;134;110;95;100;61;2;FALSO; Pupitar; NONE;
248;Mega Tyranitar;Rock;Dark;700;100;164;150;95;120;71;2;FALSO; NONE; NONE;
249;Lugia;Psychic;Flying;680;106;90;130;90;154;110;2;VERDADERO; NONE; NONE;
250;Ho-oh;Fire;Flying;680;106;130;90;110;154;90;2;VERDADERO; NONE; NONE;
251;Celebi;Psychic;Grass;600;100;100;100;100;100;100;2;VERDADERO; NONE; NONE;
252;Treecko;Grass;NONE;310;40;45;35;65;55;70;3;FALSO; NONE; Grovyle;
253;Grovyle;Grass;NONE;405;50;65;45;85;65;95;3;FALSO; Treecko; Sceptile;
254;Sceptile;Grass;NONE;530;70;85;65;105;85;120;3;FALSO;  Grovyle; NONE;
254;Mega Sceptile;Grass;Dragon;630;70;110;75;145;85;145;3;FALSO; NONE; NONE;
255;Torchic;Fire;NONE;310;45;60;40;70;50;45;3;FALSO; NONE; Combusken;
256;Combusken;Fire;Fighting;405;60;85;60;85;60;55;3;FALSO; Torchic; Blaziken;
257;Blaziken;Fire;Fighting;530;80;120;70;110;70;80;3;FALSO; Combusken; NONE;
257;Mega Blaziken;Fire;Fighting;630;80;160;80;130;80;100;3;FALSO; NONE; NONE;
258;Mudkip;Water;NONE;310;50;70;50;50;50;40;3;FALSO; NONE; Marshtomp;
259;Marshtomp;Water;Ground;405;70;85;70;60;70;50;3;FALSO; Mudkip; Swampert;
260;Swampert;Water;Ground;535;100;110;90;85;90;60;3;FALSO; Marshtomp; NONE;
260;Mega Swampert;Water;Ground;635;100;150;110;95;110;70;3;FALSO; NONE; NONE;
261;Poochyena;Dark;NONE;220;35;55;35;30;30;35;3;FALSO; NONE; Mightyena;
262;Mightyena;Dark;NONE;420;70;90;70;60;60;70;3;FALSO; Poochyena; NONE;
263;Zigzagoon;Normal;NONE;240;38;30;41;30;41;60;3;FALSO; NONE; Linoone;
263;Galarian Zigzagoon;Dark;Normal;240;38;30;41;30;41;60;8;FALSO; NONE; Galarian Linoone;
264;Linoone;Normal;NONE;420;78;70;61;50;61;100;3;FALSO; Zigzagoon; NONE;
264;Galarian Linoone;Dark;Normal;420;78;70;61;50;61;100;8;FALSO; Galarian Zigzaggon; Obstagoon;
265;Wurmple;Bug;NONE;195;45;45;35;20;30;20;3;FALSO; NONE; Silcoon;
266;Silcoon;Bug;NONE;205;50;35;55;25;25;15;3;FALSO; Wurmple; Beautifly;
267;Beautifly;Bug;Flying;395;60;70;50;100;50;65;3;FALSO; Silcoon; NONE;
268;Cascoon;Bug;NONE;205;50;35;55;25;25;15;3;FALSO; Wurmple; Dustox;
269;Dustox;Bug;Poison;385;60;50;70;50;90;65;3;FALSO; Cascoon; NONE;
270;Lotad;Water;Grass;220;40;30;30;40;50;30;3;FALSO; NONE; Lombre;
271;Lombre;Water;Grass;340;60;50;50;60;70;50;3;FALSO; Lotad; Ludicolo;
272;Ludicolo;Water;Grass;480;80;70;70;90;100;70;3;FALSO; Lombre; NONE;
273;Seedot;Grass;NONE;220;40;40;50;30;30;30;3;FALSO; NONE; Nuzleaf;
274;Nuzleaf;Grass;Dark;340;70;70;40;60;40;60;3;FALSO; Seedot; Shiftry;
275;Shiftry;Grass;Dark;480;90;100;60;90;60;80;3;FALSO; Nuzleaf; NONE;
276;Taillow;Normal;Flying;270;40;55;30;30;30;85;3;FALSO; NONE; Swellow;
277;Swellow;Normal;Flying;430;60;85;60;50;50;125;3;FALSO; Taillow; NONE;
278;Wingull;Water;Flying;270;40;30;30;55;30;85;3;FALSO; NONE; Pelipper;
279;Pelipper;Water;Flying;430;60;50;100;85;70;65;3;FALSO; Wingull; NONE;
280;Ralts;Psychic;Fairy;198;28;25;25;45;35;40;3;FALSO; NONE; Kirlia;
281;Kirlia;Psychic;Fairy;278;38;35;35;65;55;50;3;FALSO; Ralts; Gardevoir;
282;Gardevoir;Psychic;Fairy;518;68;65;65;125;115;80;3;FALSO; Kirlia; NONE;
282;Mega Gardevoir;Psychic;Fairy;618;68;85;65;165;135;100;3;FALSO; NONE; NONE;
283;Surskit;Bug;Water;269;40;30;32;50;52;65;3;FALSO; NONE; Masquerain;
284;Masquerain;Bug;Flying;414;70;60;62;80;82;60;3;FALSO; Surskit; NONE;
285;Shroomish;Grass;NONE;295;60;40;60;40;60;35;3;FALSO; NONE; Breloom;
286;Breloom;Grass;Fighting;460;60;130;80;60;60;70;3;FALSO; Shroomish; NONE;
287;Slakoth;Normal;NONE;280;60;60;60;35;35;30;3;FALSO; NONE; Vigoroth;
288;Vigoroth;Normal;NONE;440;80;80;80;55;55;90;3;FALSO; Slakoth; Slaking;
289;Slaking;Normal;NONE;670;150;160;100;95;65;100;3;FALSO; Vigoroth; NONE;
290;Nincada;Bug;Ground;266;31;45;90;30;30;40;3;FALSO; NONE; Ninjask;
291;Ninjask;Bug;Flying;456;61;90;45;50;50;160;3;FALSO; Nincada; NONE;
292;Shedinja;Bug;Ghost;236;1;90;45;30;30;40;3;FALSO; Nincada; NONE;
293;Whismur;Normal;NONE;240;64;51;23;51;23;28;3;FALSO; NONE; Loudred;
294;Loudred;Normal;NONE;360;84;71;43;71;43;48;3;FALSO; Whismur; Exploud;
295;Exploud;Normal;NONE;490;104;91;63;91;73;68;3;FALSO; Loudred; NONE;
296;Makuhita;Fighting;NONE;237;72;60;30;20;30;25;3;FALSO; NONE; Hariyama;
297;Hariyama;Fighting;NONE;474;144;120;60;40;60;50;3;FALSO; Makuhita; NONE;
298;Azurill;Normal;Fairy;190;50;20;40;20;40;20;3;FALSO; NONE; Marill;
299;Nosepass;Rock;NONE;375;30;45;135;45;90;30;3;FALSO; NONE; Probopass;
300;Skitty;Normal;NONE;260;50;45;45;35;35;50;3;FALSO; NONE; Delcatty;
301;Delcatty;Normal;NONE;380;70;65;65;55;55;70;3;FALSO; Skitty; NONE;
302;Sableye;Dark;Ghost;380;50;75;75;65;65;50;3;FALSO; NONE; NONE;
302;Mega Sableye;Dark;Ghost;480;50;85;125;85;115;20;3;FALSO; NONE; NONE;
303;Mawile;Steel;Fairy;380;50;85;85;55;55;50;3;FALSO; NONE; NONE;
303;Mega Mawile;Steel;Fairy;480;50;105;125;55;95;50;3;FALSO; NONE; NONE;
304;Aron;Steel;Rock;330;50;70;100;40;40;30;3;FALSO; NONE; Lairon;
305;Lairon;Steel;Rock;430;60;90;140;50;50;40;3;FALSO; Aron; Aggron;
306;Aggron;Steel;Rock;530;70;110;180;60;60;50;3;FALSO; Lairon; NONE;
306;Mega Aggron;Steel;NONE;630;70;140;230;60;80;50;3;FALSO; NONE; NONE;
307;Meditite;Fighting;Psychic;280;30;40;55;40;55;60;3;FALSO; NONE; Medicham;
308;Medicham;Fighting;Psychic;410;60;60;75;60;75;80;3;FALSO; Meditite; NONE;
308;Mega Medicham;Fighting;Psychic;510;60;100;85;80;85;100;3;FALSO; NONE; NONE;
309;Electrike;Electric;NONE;295;40;45;40;65;40;65;3;FALSO; NONE; Manectric;
310;Manectric;Electric;NONE;475;70;75;60;105;60;105;3;FALSO; Electrike; NONE;
310;Mega Manectric;Electric;NONE;575;70;75;80;135;80;135;3;FALSO; NONE; NONE;
311;Plusle;Electric;NONE;405;60;50;40;85;75;95;3;FALSO; NONE; NONE;
312;Minun;Electric;NONE;405;60;40;50;75;85;95;3;FALSO; NONE; NONE;
313;Volbeat;Bug;NONE;400;65;73;55;47;75;85;3;FALSO; NONE; NONE;
314;Illumise;Bug;NONE;400;65;47;55;73;75;85;3;FALSO; NONE; NONE;
315;Roselia;Grass;Poison;400;50;60;45;100;80;65;3;FALSO; Budew; Roserade;
316;Gulpin;Poison;NONE;302;70;43;53;43;53;40;3;FALSO; NONE; Swalot;
317;Swalot;Poison;NONE;467;100;73;83;73;83;55;3;FALSO; Gulpin; NONE;
318;Carvanha;Water;Dark;305;45;90;20;65;20;65;3;FALSO; NONE; Sharpedo;
319;Sharpedo;Water;Dark;460;70;120;40;95;40;95;3;FALSO; Carvanha; NONE;
319;Mega Sharpedo;Water;Dark;560;70;140;70;110;65;105;3;FALSO; NONE; NONE;
320;Wailmer;Water;NONE;400;130;70;35;70;35;60;3;FALSO; NONE; Wailord;
321;Wailord;Water;NONE;500;170;90;45;90;45;60;3;FALSO; Wailmer; NONE;
322;Numel;Fire;Ground;305;60;60;40;65;45;35;3;FALSO; NONE; Camerupt;
323;Camerupt;Fire;Ground;460;70;100;70;105;75;40;3;FALSO; Numel; NONE;
323;Mega Camerupt;Fire;Ground;560;70;120;100;145;105;20;3;FALSO; NONE; NONE;
324;Torkoal;Fire;NONE;470;70;85;140;85;70;20;3;FALSO; NONE; NONE;
325;Spoink;Psychic;NONE;330;60;25;35;70;80;60;3;FALSO; NONE; Grumpig;
326;Grumpig;Psychic;NONE;470;80;45;65;90;110;80;3;FALSO; Spoink; NONE;
327;Spinda;Normal;NONE;360;60;60;60;60;60;60;3;FALSO; NONE; NONE;
328;Trapinch;Ground;NONE;290;45;100;45;45;45;10;3;FALSO; NONE; Vibrava;
329;Vibrava;Ground;Dragon;340;50;70;50;50;50;70;3;FALSO; Trapinch; Flygon;
330;Flygon;Ground;Dragon;520;80;100;80;80;80;100;3;FALSO; Vibrava; NONE;
331;Cacnea;Grass;NONE;335;50;85;40;85;40;35;3;FALSO; NONE; Cacturne;
332;Cacturne;Grass;Dark;475;70;115;60;115;60;55;3;FALSO; Cacena; NONE;
333;Swablu;Normal;Flying;310;45;40;60;40;75;50;3;FALSO; NONE; Altaria;
334;Altaria;Dragon;Flying;490;75;70;90;70;105;80;3;FALSO; Swablu; NONE;
334;Mega Altaria;Dragon;Fairy;590;75;110;110;110;105;80;3;FALSO; NONE; NONE;
335;Zangoose;Normal;NONE;458;73;115;60;60;60;90;3;FALSO; NONE; NONE;
336;Seviper;Poison;NONE;458;73;100;60;100;60;65;3;FALSO; NONE; NONE;
337;Lunatone;Rock;Psychic;440;70;55;65;95;85;70;3;FALSO; NONE; NONE;
338;Solrock;Rock;Psychic;440;70;95;85;55;65;70;3;FALSO; NONE; NONE;
339;Barboach;Water;Ground;288;50;48;43;46;41;60;3;FALSO; NONE; Whiscash;
340;Whiscash;Water;Ground;468;110;78;73;76;71;60;3;FALSO; Barboach; NONE;
341;Corphish;Water;NONE;308;43;80;65;50;35;35;3;FALSO; NONE; Crawdaunt;
342;Crawdaunt;Water;Dark;468;63;120;85;90;55;55;3;FALSO; Corphish; NONE;
343;Baltoy;Ground;Psychic;300;40;40;55;40;70;55;3;FALSO; NONE; Claydol;
344;Claydol;Ground;Psychic;500;60;70;105;70;120;75;3;FALSO; Baltoy; NONE;
345;Lileep;Rock;Grass;355;66;41;77;61;87;23;3;FALSO; NONE; Cradily;
346;Cradily;Rock;Grass;495;86;81;97;81;107;43;3;FALSO; Lileep; NONE;
347;Anorith;Rock;Bug;355;45;95;50;40;50;75;3;FALSO; NONE; Armaldo;
348;Armaldo;Rock;Bug;495;75;125;100;70;80;45;3;FALSO; Anorith; NONE;
349;Feebas;Water;NONE;200;20;15;20;10;55;80;3;FALSO; NONE; Milotic;
350;Milotic;Water;NONE;540;95;60;79;100;125;81;3;FALSO; Feebas; NONE;
351;Castform;Normal;NONE;420;70;70;70;70;70;70;3;FALSO; NONE; NONE;
352;Kecleon;Normal;NONE;440;60;90;70;60;120;40;3;FALSO; NONE; NONE;
353;Shuppet;Ghost;NONE;295;44;75;35;63;33;45;3;FALSO; NONE; Banette;
354;Banette;Ghost;NONE;455;64;115;65;83;63;65;3;FALSO; Shuppet; NONE;
354;Mega Banette;Ghost;NONE;555;64;165;75;93;83;75;3;FALSO; NONE; NONE;
355;Duskull;Ghost;NONE;295;20;40;90;30;90;25;3;FALSO; NONE; Dusclops;
356;Dusclops;Ghost;NONE;455;40;70;130;60;130;25;3;FALSO; Duskull; NONE;
357;Tropius;Grass;Flying;460;99;68;83;72;87;51;3;FALSO; NONE; NONE;
358;Chimecho;Psychic;NONE;425;65;50;70;95;80;65;3;FALSO; Chingling; NONE;
359;Absol;Dark;NONE;465;65;130;60;75;60;75;3;FALSO; NONE; NONE;
359;Mega Absol;Dark;NONE;565;65;150;60;115;60;115;3;FALSO; NONE; NONE;
360;Wynaut;Psychic;NONE;260;95;23;48;23;48;23;3;FALSO; NONE; Wobbuffet;
361;Snorunt;Ice;NONE;300;50;50;50;50;50;50;3;FALSO; NONE; Glalie;
362;Glalie;Ice;NONE;480;80;80;80;80;80;80;3;FALSO; Snorunt; NONE;
362;Mega Glalie;Ice;NONE;580;80;120;80;120;80;100;3;FALSO; NONE; NONE;
363;Spheal;Ice;Water;290;70;40;50;55;50;25;3;FALSO; NONE; Sealeo;
364;Sealeo;Ice;Water;410;90;60;70;75;70;45;3;FALSO; Spheal; Walrein;
365;Walrein;Ice;Water;530;110;80;90;95;90;65;3;FALSO; Sealeo; NONE;
366;Clamperl;Water;NONE;345;35;64;85;74;55;32;3;FALSO; NONE; Huntail;
367;Huntail;Water;NONE;485;55;104;105;94;75;52;3;FALSO; Clamperl; NONE;
368;Gorebyss;Water;NONE;485;55;84;105;114;75;52;3;FALSO; Clamperl; NONE;
369;Relicanth;Water;Rock;485;100;90;130;45;65;55;3;FALSO; NONE; NONE;
370;Luvdisc;Water;NONE;330;43;30;55;40;65;97;3;FALSO; NONE; NONE;
371;Bagon;Dragon;NONE;300;45;75;60;40;30;50;3;FALSO; NONE; Shelgon;
372;Shelgon;Dragon;NONE;420;65;95;100;60;50;50;3;FALSO; Bagon; Salamence;
373;Salamence;Dragon;Flying;600;95;135;80;110;80;100;3;FALSO; Shelgon; NONE;
373;Mega Salamence;Dragon;Flying;700;95;145;130;120;90;120;3;FALSO; NONE; NONE;
374;Beldum;Steel;Psychic;300;40;55;80;35;60;30;3;FALSO; NONE; Metang;
375;Metang;Steel;Psychic;420;60;75;100;55;80;50;3;FALSO; Beldum; Metagross;
376;Metagross;Steel;Psychic;600;80;135;130;95;90;70;3;FALSO; Metang; NONE;
376;Mega Metagross;Steel;Psychic;700;80;145;150;105;110;110;3;FALSO; NONE; NONE;
377;Regirock;Rock;NONE;580;80;100;200;50;100;50;3;VERDADERO; NONE; NONE;
378;Regice;Ice;NONE;580;80;50;100;100;200;50;3;VERDADERO; NONE; NONE;
379;Registeel;Steel;NONE;580;80;75;150;75;150;50;3;VERDADERO; NONE; NONE;
380;Latias;Dragon;Psychic;600;80;80;90;110;130;110;3;VERDADERO; NONE; NONE;
380;Mega Latias;Dragon;Psychic;700;80;100;120;140;150;110;3;VERDADERO; NONE; NONE;
381;Latios;Dragon;Psychic;600;80;90;80;130;110;110;3;VERDADERO; NONE; NONE;
381;Mega Latios;Dragon;Psychic;700;80;130;100;160;120;110;3;VERDADERO; NONE; NONE;
382;Kyogre;Water;NONE;670;100;100;90;150;140;90;3;VERDADERO; NONE; NONE;
382;Primal Kyogre;Water;NONE;770;100;150;90;180;160;90;3;VERDADERO; NONE; NONE;
383;Groudon;Ground;NONE;670;100;150;140;100;90;90;3;VERDADERO; NONE; NONE;
383;Primal Groudon;Ground;Fire;770;100;180;160;150;90;90;3;VERDADERO; NONE; NONE;
384;Rayquaza;Dragon;Flying;680;105;150;90;150;90;95;3;VERDADERO; NONE; NONE;
384;Mega Rayquaza;Dragon;Flying;780;105;180;100;180;100;115;3;VERDADERO; NONE; NONE;
385;Jirachi;Steel;Psychic;600;100;100;100;100;100;100;3;VERDADERO; NONE; NONE;
386;Deoxys Normal Forme;Psychic;NONE;600;50;150;50;150;50;150;3;VERDADERO; NONE; NONE;
386;Deoxys Attack Forme;Psychic;NONE;600;50;180;20;180;20;150;3;VERDADERO; NONE; NONE;
386;Deoxys Defense Forme;Psychic;NONE;600;50;70;160;70;160;90;3;VERDADERO; NONE; NONE;
386;Deoxys Speed Forme;Psychic;NONE;600;50;95;90;95;90;180;3;VERDADERO; NONE; NONE;
387;Turtwig;Grass;NONE;318;55;68;64;45;55;31;4;FALSO; NONE; Grotle;
388;Grotle;Grass;NONE;405;75;89;85;55;65;36;4;FALSO; Turtwig; Torterra;
389;Torterra;Grass;Ground;525;95;109;105;75;85;56;4;FALSO; Grotle; NONE;
390;Chimchar;Fire;NONE;309;44;58;44;58;44;61;4;FALSO; NONE; Monferno;
391;Monferno;Fire;Fighting;405;64;78;52;78;52;81;4;FALSO; Chimchar; Infernape;
392;Infernape;Fire;Fighting;534;76;104;71;104;71;108;4;FALSO; Monferno; NONE;
393;Piplup;Water;NONE;314;53;51;53;61;56;40;4;FALSO; NONE; Prinplup;
394;Prinplup;Water;NONE;405;64;66;68;81;76;50;4;FALSO; Piplup; Empoleon;
395;Empoleon;Water;Steel;530;84;86;88;111;101;60;4;FALSO; Prinplup; NONE;
396;Starly;Normal;Flying;245;40;55;30;30;30;60;4;FALSO; NONE; Staravia;
397;Staravia;Normal;Flying;340;55;75;50;40;40;80;4;FALSO; Starly; Staraptor;
398;Staraptor;Normal;Flying;485;85;120;70;50;60;100;4;FALSO; Staravia; NONE;
399;Bidoof;Normal;NONE;250;59;45;40;35;40;31;4;FALSO; NONE; Bibarel;
400;Bibarel;Normal;Water;410;79;85;60;55;60;71;4;FALSO; Bidoof; NONE;
401;Kricketot;Bug;NONE;194;37;25;41;25;41;25;4;FALSO; NONE; Kricketune;
402;Kricketune;Bug;NONE;384;77;85;51;55;51;65;4;FALSO; Kricketot; NONE;
403;Shinx;Electric;NONE;263;45;65;34;40;34;45;4;FALSO; NONE; Luxio;
404;Luxio;Electric;NONE;363;60;85;49;60;49;60;4;FALSO; Shinx; Luxray;
405;Luxray;Electric;NONE;523;80;120;79;95;79;70;4;FALSO; Luxio; NONE;
406;Budew;Grass;Poison;280;40;30;35;50;70;55;4;FALSO; NONE; Roselia;
407;Roserade;Grass;Poison;515;60;70;65;125;105;90;4;FALSO; Roselia; NONE;
408;Cranidos;Rock;NONE;350;67;125;40;30;30;58;4;FALSO; NONE; Rampardos;
409;Rampardos;Rock;NONE;495;97;165;60;65;50;58;4;FALSO; Cranidos; NONE;
410;Shieldon;Rock;Steel;350;30;42;118;42;88;30;4;FALSO; NONE; Bastiodon;
411;Bastiodon;Rock;Steel;495;60;52;168;47;138;30;4;FALSO; Shieldon; NONE;
412;Burmy;Bug;NONE;224;40;29;45;29;45;36;4;FALSO; NONE; Wormadam Plant Cloak;
413;Wormadam Plant Cloak;Bug;Grass;424;60;59;85;79;105;36;4;FALSO; Burmy; NONE;
413;Wormadam Sandy Cloak;Bug;Ground;424;60;79;105;59;85;36;4;FALSO; Burmy; NONE;
413;Wormadam Trash Cloak;Bug;Steel;424;60;69;95;69;95;36;4;FALSO; Burmy; NONE;
414;Mothim;Bug;Flying;424;70;94;50;94;50;66;4;FALSO; Burmy; NONE;
415;Combee;Bug;Flying;244;30;30;42;30;42;70;4;FALSO; NONE; Vespiquen;
416;Vespiquen;Bug;Flying;474;70;80;102;80;102;40;4;FALSO; Combee; NONE;
417;Pachirisu;Electric;NONE;405;60;45;70;45;90;95;4;FALSO; NONE; NONE;
418;Buizel;Water;NONE;330;55;65;35;60;30;85;4;FALSO; NONE; Floatzel;
419;Floatzel;Water;NONE;495;85;105;55;85;50;115;4;FALSO; Buizel; NONE;
420;Cherubi;Grass;NONE;275;45;35;45;62;53;35;4;FALSO; NONE; Cherrim;
421;Cherrim;Grass;NONE;450;70;60;70;87;78;85;4;FALSO; Cherubi; NONE;
422;Shellos;Water;NONE;325;76;48;48;57;62;34;4;FALSO; NONE; Gastrodon;
423;Gastrodon;Water;Ground;475;111;83;68;92;82;39;4;FALSO; Shellos; NONE;
424;Ambipom;Normal;NONE;482;75;100;66;60;66;115;4;FALSO; Aipom; NONE;
425;Drifloon;Ghost;Flying;348;90;50;34;60;44;70;4;FALSO; NONE; Drifblim;
426;Drifblim;Ghost;Flying;498;150;80;44;90;54;80;4;FALSO; Drifloon; NONE;
427;Buneary;Normal;NONE;350;55;66;44;44;56;85;4;FALSO; NONE; Lopunny;
428;Lopunny;Normal;NONE;480;65;76;84;54;96;105;4;FALSO; Buneary; NONE;
428;Mega Lopunny;Normal;Fighting;580;65;136;94;54;96;135;4;FALSO; NONE; NONE;
429;Mismagius;Ghost;NONE;495;60;60;60;105;105;105;4;FALSO; Misdreavus; NONE;
430;Honchkrow;Dark;Flying;505;100;125;52;105;52;71;4;FALSO; Murkrow; NONE;
431;Glameow;Normal;NONE;310;49;55;42;42;37;85;4;FALSO; NONE; Purugly;
432;Purugly;Normal;NONE;452;71;82;64;64;59;112;4;FALSO; Glameow; NONE;
433;Chingling;Psychic;NONE;285;45;30;50;65;50;45;4;FALSO; NONE; Chimecho;
434;Stunky;Poison;Dark;329;63;63;47;41;41;74;4;FALSO; NONE; Skuntank;
435;Skuntank;Poison;Dark;479;103;93;67;71;61;84;4;FALSO; Stunky; NONE;
436;Bronzor;Steel;Psychic;300;57;24;86;24;86;23;4;FALSO; NONE; Bronzong;
437;Bronzong;Steel;Psychic;500;67;89;116;79;116;33;4;FALSO; Bronzor; NONE;
438;Bonsly;Rock;NONE;290;50;80;95;10;45;10;4;FALSO; NONE; Sudowoodo;
439;Mime Jr.;Psychic;Fairy;310;20;25;45;70;90;60;4;FALSO; NONE; Mr. Mime;
440;Happiny;Normal;NONE;220;100;5;5;15;65;30;4;FALSO; NONE; Chansey;
441;Chatot;Normal;Flying;411;76;65;45;92;42;91;4;FALSO; NONE; NONE;
442;Spiritomb;Ghost;Dark;485;50;92;108;92;108;35;4;FALSO; NONE; NONE;
443;Gible;Dragon;Ground;300;58;70;45;40;45;42;4;FALSO; NONE; Gabite;
444;Gabite;Dragon;Ground;410;68;90;65;50;55;82;4;FALSO; Gible; Garchomp;
445;Garchomp;Dragon;Ground;600;108;130;95;80;85;102;4;FALSO; Gabite; NONE;
445;Mega Garchomp;Dragon;Ground;700;108;170;115;120;95;92;4;FALSO; NONE; NONE;
446;Munchlax;Normal;NONE;390;135;85;40;40;85;5;4;FALSO; NONE; Snorlax;
447;Riolu;Fighting;NONE;285;40;70;40;35;40;60;4;FALSO; NONE; Lucario;
448;Lucario;Fighting;Steel;525;70;110;70;115;70;90;4;FALSO; Riolu; NONE;
448;Mega Lucario;Fighting;Steel;625;70;145;88;140;70;112;4;FALSO; NONE; NONE;
449;Hippopotas;Ground;NONE;330;68;72;78;38;42;32;4;FALSO; NONE; Hippodown;
450;Hippowdon;Ground;NONE;525;108;112;118;68;72;47;4;FALSO; Hippopotas;NONE;
451;Skorupi;Poison;Bug;330;40;50;90;30;55;65;4;FALSO; NONE; Drapion;
452;Drapion;Poison;Dark;500;70;90;110;60;75;95;4;FALSO; Skorupi; NONE;
453;Croagunk;Poison;Fighting;300;48;61;40;61;40;50;4;FALSO; NONE; Toxicroak;
454;Toxicroak;Poison;Fighting;490;83;106;65;86;65;85;4;FALSO; Croagunk; NONE;
455;Carnivine;Grass;NONE;454;74;100;72;90;72;46;4;FALSO; NONE; NONE;
456;Finneon;Water;NONE;330;49;49;56;49;61;66;4;FALSO; NONE; Lumineon;
457;Lumineon;Water;NONE;460;69;69;76;69;86;91;4;FALSO; Finneon; NONE;
458;Mantyke;Water;Flying;345;45;20;50;60;120;50;4;FALSO; NONE; Mantine;
459;Snover;Grass;Ice;334;60;62;50;62;60;40;4;FALSO; NONE; Abomasnow;
460;Abomasnow;Grass;Ice;494;90;92;75;92;85;60;4;FALSO; Snover; NONE;
460;Mega Abomasnow;Grass;Ice;594;90;132;105;132;105;30;4;FALSO; NONE; NONE;
461;Weavile;Dark;Ice;510;70;120;65;45;85;125;4;FALSO; Sneasel; NONE;
462;Magnezone;Electric;Steel;535;70;70;115;130;90;60;4;FALSO; Magneton; NONE;
463;Lickilicky;Normal;NONE;515;110;85;95;80;95;50;4;FALSO; NONE; Lickitung;
464;Rhyperior;Ground;Rock;535;115;140;130;55;55;40;4;FALSO; Rhydon; NONE;
465;Tangrowth;Grass;NONE;535;100;100;125;110;50;50;4;FALSO; Tangela; NONE;
466;Electivire;Electric;NONE;540;75;123;67;95;85;95;4;FALSO; Electabuzz; NONE;
467;Magmortar;Fire;NONE;540;75;95;67;125;95;83;4;FALSO; Magmar; NONE;
468;Togekiss;Fairy;Flying;545;85;50;95;120;115;80;4;FALSO; Togetic; NONE;
469;Yanmega;Bug;Flying;515;86;76;86;116;56;95;4;FALSO; Yanma; NONE;
470;Leafeon;Grass;NONE;525;65;110;130;60;65;95;4;FALSO; Eevee; NONE;
471;Glaceon;Ice;NONE;525;65;60;110;130;95;65;4;FALSO; Eevee; NONE;
472;Gliscor;Ground;Flying;510;75;95;125;45;75;95;4;FALSO; Gligar; NONE;
473;Mamoswine;Ice;Ground;530;110;130;80;70;60;80;4;FALSO; Piloswine; NONE;
474;Porygon-Z;Normal;NONE;535;85;80;70;135;75;90;4;FALSO; Porygon2; NONE;
475;Gallade;Psychic;Fighting;518;68;125;65;65;115;80;4;FALSO; Kirlia; NONE;
475;Mega Gallade;Psychic;Fighting;618;68;165;95;65;115;110;4;FALSO; NONE; NONE;
476;Probopass;Rock;Steel;525;60;55;145;75;150;40;4;FALSO; Nosepass; NONE;
477;Dusknoir;Ghost;NONE;525;45;100;135;65;135;45;4;FALSO; Dusclops; NONE;
